title,street,city,state,postal_code,country,lat,lng,categories
42319 - T.K Chaithra Waves Bar,"Festo, Sarjapura Road, Sarjapura, Yamare, Anekal, Bengaluru Urban, Karnataka, 562125, India",Bengaluru,Karnataka,562125,India,12.8613183,77.7775479,shops
14093 - Amulya Liquors - Yelahanka,"293, 1st A Main Road, Nyayanga Badavane, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560065, India",Bengaluru,Karnataka,560065,India,13.0932327,77.5823517,shops
18143 - Madhu wines,"Euro Fitness Center, 364, Kaggadasapura Main Road, Vignananagara, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560075, India",Bengaluru,Karnataka,560075,India,12.9751434,77.678863,shops
14946 - AMULYA SCOTCH,"Kodigehalli Road, Thindlu, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560097, India",Bengaluru,Karnataka,560097,India,13.0629223,77.5728161,shops
44135 - Krystal bar,"Kodigehalli Main Road, Badrappa Layout, Rajiv Gandhi Nagar, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560094, India",Bengaluru,Karnataka,560094,India,13.0513762,77.574908,shops
43784 - Lake view Hotel,"Kempegowda Road, Arkavathy Layout, Jakkur, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India",Bengaluru,Karnataka,560092,India,13.0627407,77.6092304,shops
15760 - Mayuri Liquor,"Kodigehalli Road, Alfa Gardens, Basavanapura, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560049, India",Bengaluru,Karnataka,560049,India,13.0045314,77.7142321,shops
42667 - Brundavana Bar,"Maithri Layout, Kadugodi, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560067, India",Bengaluru,Karnataka,560067,India,12.9877327,77.7598639,shops
42380 - Surya Manyata House,"Rachenahalli Main Road, Arkavathy Layout 11th Block, Thanisandra, Bengaluru North City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560045, India",Bengaluru,Karnataka,560045,India,13.0590057,77.6267528,shops
14331 - Konnian wines,"Haralur Road, Kudlu, Bengaluru South City Corporation, Bengaluru, Anekal, Bengaluru Urban, Karnataka, 560068, India",Bengaluru,Karnataka,560068,India,12.8916991,77.6559686,shops
11916 - Bhagini Hospitality Pvt Ltd - ITPL,"Bhagini Residency, Ecumenical Christian Center Road, Prithvi Layout, Pattanduru Agrahara, S.M Krishna Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India",Bengaluru,Karnataka,560066,India,12.9862099,77.7449165,shops
12157 - JYOTHI WINES,"Siddapura Road, Whitefield, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India",Bengaluru,Karnataka,560066,India,12.9647322,77.7332699,shops
43654 - LIQUOR POINT,"Decofield, Siddapura Road, Whitefield, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560066, India",Bengaluru,Karnataka,560066,India,12.9563817,77.7311673,shops
43082 - Liquor World,"Silver County Road, Kudlu, Bengaluru South City Corporation, Bengaluru, Anekal, Bengaluru Urban, Karnataka, 560068, India",Bengaluru,Karnataka,560068,India,12.89422,77.6630717,shops
41777 - Bangalore Toniq- Marathahalli,"Varthur Road, Silver Springs Layout, Priyadarshini Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",Bengaluru,Karnataka,560037,India,12.9563739,77.710437,shops
11311 - SVR Drops,"RDB Stillwaters, Kudlu, Bengaluru South City Corporation, Bengaluru, Anekal, Bengaluru Urban, Karnataka, 560103, India",Bengaluru,Karnataka,560103,India,12.8945374,77.6632255,shops
42491 - Bangalore Spirits,"Walls and Acres, 35/1B, Varthur Road, Silver Springs Layout, Priyadarshini Ward, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560037, India",Bengaluru,Karnataka,560037,India,12.9564265,77.7096599,shops
358 - Bolt liquor,"Devanahalli, Devanahalli taluku, Bengaluru North, Karnataka, 562110, India",Bengaluru,Karnataka,562110,India,13.2431645,77.7040706,shops
43965 - Sprits Zone,"Ballari Road, Devanahalli, Devanahalli taluku, Bengaluru North, Karnataka, 562110, India",Bengaluru,Karnataka,562110,India,13.2576522,77.7135559,shops
19950 - Giri Liquor,"Ballari Road, Mudugurki, Devanahalli taluku, Bengaluru North, Karnataka, 562164, India",Bengaluru,Karnataka,562164,India,13.3285889,77.7252882,shops
18916 - AR Liquors,"5th Cross Road, OMBR Layout, Banaswadi, Bengaluru North City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560043, India",Bengaluru,Karnataka,560043,India,13.0131286,77.6499635,shops
534 - Bharathi Wines,"Nandhi Hills Road, Mudiganahalli, Devanahalli taluku, Bengaluru North, Karnataka, 562164, India",Bengaluru,Karnataka,562164,India,13.347165,77.6863567,shops
41519 - My Spirits - HRBR,"Hotel Little Imperial, 5, AC 921, Basbusabpalaya Service Road, Babusab Palya, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560043, India",Bengaluru,Karnataka,560043,India,13.0228185,77.6476418,shops
13933 - GK Spirits,"Rayaru's Kitchen, Indiranagar Double Road, ISRO Colony, Jogpalya, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",Bengaluru,Karnataka,560008,India,12.9728167,77.6357417,shops
42603 - chill out bar,"Marasuru, Anekal, Bengaluru Urban, Karnataka, 562107, India",Bengaluru,Karnataka,562107,India,12.7686845,77.7012194,shops
44424 - GRAPE JUICE,"W H Hanumanthappa Road, Gandhinagar, Nehru Nagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560009, India",Bengaluru,Karnataka,560009,India,12.9752157,77.5770649,shops
43792 - MGR 2,"SH35, Indlabele, Attibele, Anekal, Bengaluru Urban, Karnataka, 562107, India",Bengaluru,Karnataka,562107,India,12.7822132,77.7721558,shops
44617 - Sri Brew Kichen,"Indlabele, Anekal, Bengaluru Urban, Karnataka, 562107, India",Bengaluru,Karnataka,562107,India,12.7941268,77.7794043,shops
16673 - SLV,"Bidarakuppe, Bidaraguppe, Anekal, Bengaluru Urban, Karnataka, 562107, India",Bengaluru,Karnataka,562107,India,12.8049052,77.7835734,shops
45185 - Aishwarya Spirits & Lodging,"SH35, Bidarakuppe, Bidaraguppe, Anekal, Bengaluru Urban, Karnataka, 562107, India",Bengaluru,Karnataka,562107,India,12.8080831,77.7839626,shops
2931 - The Peak bar and Pub,"Renaissance Aero, Byatarayanapura, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560064, India",Bengaluru,Karnataka,560064,India,13.0729949,77.5952927,shops
19278 - The Liquor Store - Nagavara,"TMR Road, Kempapura, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560045, India",Bengaluru,Karnataka,560045,India,13.0413705,77.6222448,shops
19866 - Temple Tree Ventures,"Aurah Spa And Salon, 2726, 80 Feet Road, Hutting Colony, Thippasandra, Indiranagar, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560038, India",Bengaluru,Karnataka,560038,India,12.97976,77.646355,shops
10465 - Southern Star Hotel - Lavelle Road,"40/2, Lavelle Road, Shanthala Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",Bengaluru,Karnataka,560001,India,12.9746795,77.5994238,shops
42775 - Art Photography Foundation (Cumulus),"Museum of Art and Photography, Kasturba Cross Road, Shanthala Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",Bengaluru,Karnataka,560001,India,12.9745114,77.596929,shops
17961 - Yazu Pan Asian,"Magnolia Bakery, State Bank Road, Shanthala Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",Bengaluru,Karnataka,560001,India,12.9734538,77.6018468,shops
41247 - Mayuri Bar,"Mayuri Wines, Gear School road, Panathur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560103, India",Bengaluru,Karnataka,560103,India,12.9268559,77.6948747,shops
42978 - Monkey Bar - Church Street,"1 Sobha, Church Street, Shanthala Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",Bengaluru,Karnataka,560001,India,12.9750454,77.6026704,shops
41669 - Pegs And Bottle,"50/1, Church Street, Shanthala Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",Bengaluru,Karnataka,560001,India,12.9752451,77.6037722,shops
19423 - Scotch Yard- RMV Extension,"Scotchyard, Jeevaraj Alva Road, Sadashivanagar, Sadashiva Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560080, India",Bengaluru,Karnataka,560080,India,13.0144583,77.5736513,shops
44716 - MONTEZ SPRITS,"Sangolli Rayanna Road, Kaveri Pura, Pattegar Palya, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560079, India",Bengaluru,Karnataka,560079,India,12.976337,77.5247674,shops
19420 Metro wines,"100 Feet Road, 1st Block, Sir MV Layout, Ramasandra, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560056, India",Bengaluru,Karnataka,560056,India,12.9369161,77.4787472,shops
18742 - Venkateshwara Wines,"Royal Stag, Chord Road, Shivanahalli, Rajajinagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560010, India",Bengaluru,Karnataka,560010,India,12.987743,77.5496537,shops
19115 - Total Wine and Spirits- Akshaya Nagar,"Andrahalli Main Road, Syndicate Bank Layout, Nada prabhu Kempegowda Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560091, India",Bengaluru,Karnataka,560091,India,12.9991917,77.4889226,shops
